comment_id,platform,program_name,comment_text,sentiment,likes,replies,engagement_score,hashtags,topic_category,city_region,created_at,user_type,urgency_level,clean_comment,year,month,day,engagement_category
CMT-100001,TikTok,WiFi Publik Kota Batu,Semoga layanan terus ditingkatkan.,Neutral,2258,125,2508,#DiskominfoBatu,Pendidikan,Pasuruan,2025-08-19 16:38:09,Tourist,Medium,semogalayananterusditingkatkan,2025,8,19,Medium
CMT-100002,Twitter/X,Smart City Batu,Program ini sangat membantu masyarakat.,Positive,1796,119,2034,#PelayananPublik,Teknologi,Malang,2025-08-21 18:11:47,Tourist,Low,programinisangatmembantumasyarakat,2025,8,21,Medium
CMT-100003,Instagram,E-Government Service,Semoga layanan terus ditingkatkan.,Neutral,1312,357,2026,#UMKMBatu,UMKM,Malang,2025-05-26 21:25:17,UMKM Owner,Medium,semogalayananterusditingkatkan,2025,5,26,Medium
CMT-100004,Instagram,Batu Tourism App,Salut untuk inovasi digital Kota Batu.,Positive,797,183,1163,#SmartCityBatu,Ekonomi Digital,Pasuruan,2025-06-17 18:10:55,Citizen,Low,salutuntukinovasidigitalkotabatu,2025,6,17,Medium
CMT-100005,Twitter/X,E-Government Service,Informasi di aplikasi kurang update.,Negative,4527,150,4827,#PelayananPublik,Pendidikan,Batu,2025-09-17 14:28:25,Student,Medium,informasidiaplikasikurangupdate,2025,9,17,High
CMT-100006,TikTok,Digital Learning Batu,Fiturnya cukup membantu untuk masyarakat.,Neutral,1912,443,2798,#UMKMBatu,Ekonomi Digital,Kediri,2025-09-28 06:58:56,UMKM Owner,Medium,fiturnyacukupmembantuuntukmasyarakat,2025,9,28,Medium
CMT-100007,Instagram,Digital UMKM,Informasi publik jadi lebih transparan.,Positive,1721,343,2407,#BatuDigital,Pariwisata,Malang,2025-09-09 19:56:06,Tourist,Low,informasipublikjadilebihtransparan,2025,9,9,Medium
CMT-100008,TikTok,Pelayanan Dukcapil Online,WiFi publik sangat membantu mahasiswa.,Positive,2661,431,3523,#SmartCityBatu,Pelayanan Publik,Blitar,2025-07-31 00:21:20,UMKM Owner,Low,wifipubliksangatmembantumahasiswa,2025,7,31,High
CMT-100009,Instagram,Digital Learning Batu,Informasi publik jadi lebih transparan.,Positive,1746,335,2416,#KotaBatu,UMKM,Surabaya,2025-12-17 23:53:09,Student,Low,informasipublikjadilebihtransparan,2025,12,17,Medium
CMT-100010,Twitter/X,Digital Learning Batu,Digitalisasi layanan sangat mempermudah warga.,Positive,4793,219,5231,#WisataBatu,Pariwisata,Malang,2026-03-06 05:45:47,Public Employee,Low,digitalisasilayanansangatmempermudahwarga,2026,3,6,High
CMT-100011,Twitter/X,WiFi Publik Kota Batu,Pelayanan sekarang jauh lebih cepat dan mudah.,Positive,903,78,1059,#DigitalGovernment,Pendidikan,Blitar,2026-01-01 05:59:29,Tourist,Low,pelayanansekarangjauhlebihcepatdanmudah,2026,1,1,Medium
CMT-100012,Twitter/X,Smart City Batu,Pelayanan sudah cukup baik.,Neutral,4339,128,4595,#DiskominfoBatu,Transportasi,Kediri,2026-02-11 11:19:03,UMKM Owner,Medium,pelayanansudahcukupbaik,2026,2,11,High
